mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
3	2	5	5	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	27													
3	2	7/2	7/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	28													
3	2	5	5	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	29													
3	2	6	6	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	30									3				
3	2	25/4	25/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	31									3				
3	2	7/2	7/2	0.75	0	0	Chord	6/8	2	2	3/16		1/8	3/2	32													
3	2	17/4	17/4	0.25	3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	33													
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	34													
3	2	5	5	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	35													
4	3	13/2	13/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	36													
4	3	8	8	0.0	3/8	3/8	Spanner	6/8	1	1	0															0		
4	3	8	8	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	37									4		0		
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	38									4		0		
4	3	9	9	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	39									4		0		
4	3	37/4	37/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	40									4		0		
4	3	13/2	13/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	41											0		
4	3	8	8	0.75	3/8	3/8	Chord	6/8	1	2	3/16		1/8	3/2	42											0		
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	43											0		
4	3	9	9	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	44											0		
4	3	37/4	37/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	45											0		
4	3	13/2	13/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	46													
4	3	8	8	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	47													
4	3	35/4	35/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	48													
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	49													
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	50													
4	3	8	8	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	51													
5	4	19/2	19/2	0.0	0	0	Spanner	6/8	1	1	0													4				
5	4	19/2	19/2	0.0	0	0	Spanner	6/8	1	1	0													4	0			
5	4	19/2	19/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	52									4	0			
5	4	10	10	1.0	1/8	1/8	Chord	6/8	1	1	1/4		1/4	1	53									4	0			
5	4	11	11	0.0	3/8	3/8	Spanner	6/8	1	1	0																	
5	4	11	11	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	54													
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	55		articAccentAbove							5				
5	4	19/2	19/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	56													
5	4	10	10	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	57													
5	4	11	11	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	58													
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	59													
5	4	19/2	19/2	0.0	0	0	Spanner	6/8	2	1	0																0	0
5	4	19/2	19/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	60												0	0
5	4	10	10	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	61												0	0
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	62												0	0
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	63		articAccentBelow										0	0
5	4	19/2	19/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	64									6			0	0
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	65									6			0	0
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	66												0	0
6	5	25/2	25/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	67									5				
6	5	53/4	53/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	68									5				
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	69									5				
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	70													
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	71		articAccentAbove							7				
6	5	25/2	25/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	72													
6	5	14	14	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	73													
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	74													
6	5	25/2	25/2	0.0	0	0	Spanner	6/8	2	1	0																	
6	5	25/2	25/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	75													
6	5	14	14	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	76													
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	77		articAccentBelow											
6	5	25/2	25/2	0.75	0	0	Chord	6/8	2	2	3/16		1/8	3/2	78													
6	5	53/4	53/4	0.25	3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	79													
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	80													
6	5	14	14	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	81													
7	6	31/2	31/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	82									7				
7	6	31/2	31/2	0.0	0	0	Chord	6/8	1	1	0	grace16	1/16	1	83									7				
7	6	31/2	31/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	84									7				
7	6	65/4	65/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	85									7				
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	86									7				
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	87													
7	6	18	18	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	88									8				
7	6	73/4	73/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	89									8				
7	6	31/2	31/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	90													
7	6	17	17	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	91													
7	6	31/2	31/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	92													
7	6	17	17	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	93													
7	6	18	18	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	94									9				
7	6	73/4	73/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	95									9				
7	6	31/2	31/2	0.75	0	0	Chord	6/8	2	2	3/16		1/8	3/2	96													
7	6	65/4	65/4	0.25	3/16	3/16	Chord	6/8	2	2	1/16		1/16	1	97													
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	98													
7	6	17	17	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	99													
8	7	37/2	37/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	100													
8	7	20	20	0.0	3/8	3/8	Spanner	6/8	1	1	0															1		
8	7	20	20	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	101									10		1		
8	7	83/4	83/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	102									10		1		
8	7	21	21	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	103									10		1		
8	7	85/4	85/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	104									10		1		
8	7	37/2	37/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	105											1		
8	7	20	20	0.75	3/8	3/8	Chord	6/8	1	2	3/16		1/8	3/2	106											1		
8	7	83/4	83/4	0.25	9/16	9/16	Chord	6/8	1	2	1/16		1/16	1	107											1		
8	7	21	21	0.25	5/8	5/8	Chord	6/8	1	2	1/16		1/16	1	108											1		
8	7	85/4	85/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	109											1		
8	7	37/2	37/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	110													
8	7	20	20	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	111													
8	7	83/4	83/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	112													
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	113													
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	114													
8	7	20	20	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	115													
9	8	43/2	43/2	0.0	0	0	Spanner	6/8	1	1	0													10				
9	8	43/2	43/2	0.0	0	0	Spanner	6/8	1	1	0													10	1			
9	8	43/2	43/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	116									10	1			
9	8	22	22	1.0	1/8	1/8	Chord	6/8	1	1	1/4		1/4	1	117									10	1			
9	8	23	23	0.0	3/8	3/8	Spanner	6/8	1	1	0																	
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	118													
9	8	43/2	43/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	119													
9	8	22	22	1.0	1/8	1/8	Chord	6/8	1	2	1/4		1/4	1	120													
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	121													
9	8	24	24	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	122									11				
9	8	43/2	43/2	0.0	0	0	Spanner	6/8	2	1	0																1	1
9	8	43/2	43/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	123												1	1
9	8	22	22	1.0	1/8	1/8	Chord	6/8	2	1	1/4		1/4	1	124												1	1
9	8	23	23	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	125												1	1
9	8	24	24	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
9	8	43/2	43/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	126													
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	127													
9	8	23	23	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	128													
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	129									12				
10	9	49/2	49/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	130													
10	9	101/4	101/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	131													
10	9	51/2	51/2	0.0	1/4	1/4	Spanner	6/8	1	1	0															2		
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	132											2		
10	9	26	26	0.0	3/8	3/8	Spanner	6/8	1	1	0																	
10	9	26	26	0.0	3/8	3/8	Spanner	6/8	1	1	0														2			
10	9	26	26	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	133										2			
10	9	107/4	107/4	0.0	9/16	9/16	Spanner	6/8	1	1	0																	
10	9	107/4	107/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	134													
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	135													
10	9	49/2	49/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	136									11				
10	9	26	26	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	137									11				
10	9	49/2	49/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	138													
10	9	101/4	101/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	139													
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	140													
10	9	26	26	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	141													
10	9	107/4	107/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	142													
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	143													
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	144													
11	10	29	29	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	145													
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	146									13				
11	10	55/2	55/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	147									11				
11	10	29	29	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	148													
11	10	55/2	55/2	0.0	0	0	Spanner	6/8	2	1	0																2	2
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	149												2	2
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	150									14			2	2
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	151												2	2
11	10	30	30	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	152									15				
12	11	61/2	61/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	153									13				
12	11	125/4	125/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	154									13				
12	11	63/2	63/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	155									13				
12	11	127/4	127/4	0.0	5/16	5/16	Spanner	6/8	1	1	0													13		3		
12	11	127/4	127/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	156									13		3		
12	11	32	32	0.0	3/8	3/8	Spanner	6/8	1	1	0													13				
12	11	32	32	0.0	3/8	3/8	Spanner	6/8	1	1	0													13	3			
12	11	32	32	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	157									13	3			
12	11	131/4	131/4	0.0	9/16	9/16	Spanner	6/8	1	1	0													13				
12	11	131/4	131/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	158									13				
12	11	33	33	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	159									13				
12	11	133/4	133/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	160									13				
12	11	61/2	61/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	161													
12	11	32	32	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	162													
12	11	61/2	61/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	163									15				
12	11	125/4	125/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	164									15				
12	11	63/2	63/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	165									15				
12	11	127/4	127/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	166									15				
12	11	32	32	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	167									15				
12	11	131/4	131/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	168									15				
12	11	33	33	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	169									15				
12	11	133/4	133/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	170									15				
13	12	67/2	67/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	171													
13	12	35	35	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	172													
13	12	36	36	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	173									16				
13	12	145/4	145/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	174													
13	12	67/2	67/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	175													
13	12	35	35	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	176													
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	177													
13	12	67/2	67/2	0.0	0	0	Spanner	6/8	2	1	0																3	3
13	12	67/2	67/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	178												3	3
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	179									17			3	3
13	12	35	35	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	180												3	3
13	12	36	36	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	181									18				
14	13	73/2	73/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	182													
14	13	38	38	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	183													
14	13	39	39	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	184									19				
14	13	157/4	157/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	185													
14	13	73/2	73/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	186													
14	13	38	38	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	187													
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	188													
14	13	73/2	73/2	0.0	0	0	Spanner	6/8	2	1	0																4	4
14	13	73/2	73/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	189												4	4
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	190									20			4	4
14	13	38	38	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	191												4	4
14	13	39	39	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	192													
15	14	79/2	79/2	0.0	0	0	StaffText	6/8	1	1	0							cresc. e stretto										
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	193									21				
15	14	40	40	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	194													
15	14	81/2	81/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	195									22				
15	14	163/4	163/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	196													
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	197									23				
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	198													
15	14	42	42	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	199									24				
15	14	169/4	169/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	200													
15	14	79/2	79/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	201													
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	202													
15	14	41	41	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	203													
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	204													
15	14	79/2	79/2	0.0	0	0	Spanner	6/8	2	1	0																5	5
15	14	79/2	79/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	205												5	5
15	14	81/2	81/2	0.0	1/4	1/4	Spanner	6/8	2	1	0																	
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	206									25				
15	14	41	41	0.0	3/8	3/8	Spanner	6/8	2	1	0																6	6
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	207												6	6
15	14	42	42	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208									26				
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	1	1	0															4		
16	15	85/2	85/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	209									27		4		
16	15	43	43	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	210											4		
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	211		articAccentAbove							28		4		
16	15	44	44	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	212											4		
16	15	89/2	89/2	0.0	1/2	1/2	Dynamic	6/8	1	1	0					f												
16	15	89/2	89/2	0.0	1/2	1/2	Spanner	6/8	1	1	0																	
16	15	89/2	89/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	213		articAccentAbove							29				
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	214													
16	15	85/2	85/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	215													
16	15	87/2	87/2	1.0	1/4	1/4	Chord	6/8	1	2	1/4		1/4	1	216													
16	15	89/2	89/2	1.0	1/2	1/2	Chord	6/8	1	2	1/4		1/4	1	217													
16	15	85/2	85/2	0.0	0	0	Spanner	6/8	2	1	0																7	7
16	15	85/2	85/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	218												7	7
16	15	87/2	87/2	1.0	1/4	1/4	Chord	6/8	2	1	1/4		1/4	1	219		articAccentAbove										7	7
16	15	89/2	89/2	0.0	1/2	1/2	Spanner	6/8	2	1	0																8	8
16	15	89/2	89/2	0.0	1/2	1/2	Spanner	6/8	2	1	0																8	8
16	15	89/2	89/2	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	220		articAccentBelow										8	8
17	16	91/2	91/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	221									30				
17	16	185/4	185/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	222									30				
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	223									30				
17	16	47	47	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	224													
17	16	48	48	0.0	5/8	5/8	Spanner	6/8	1	1	0														4			
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	225									31	4			
17	16	91/2	91/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	226										4			
17	16	47	47	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	227										4			
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	228										4			
17	16	91/2	91/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	229									32			8	8
17	16	185/4	185/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	230									32			8	8
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	231									32			8	8
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	232												8	8
17	16	48	48	0.0	5/8	5/8	Spanner	6/8	2	1	0																	
17	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	233									33				
18	17	97/2	97/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	234									31	4			
18	17	197/4	197/4	0.08333333333333333	3/16	3/16	Chord	6/8	1	1	1/48		1/32	2/3	235									31	4			
18	17	148/3	148/3	0.08333333333333333	5/24	5/24	Chord	6/8	1	1	1/48		1/32	2/3	236									31	4			
18	17	593/12	593/12	0.08333333333333333	11/48	11/48	Chord	6/8	1	1	1/48		1/32	2/3	237									31	4			
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	238										4			
18	17	50	50	0.0	3/8	3/8	Dynamic	6/8	1	1	0					p												
18	17	50	50	0.0	3/8	3/8	Spanner	6/8	1	1	0																	
18	17	50	50	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	239													
18	17	51	51	0.0	5/8	5/8	StaffText	6/8	1	1	0							a tempo										
18	17	51	51	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	240									34				
18	17	205/4	205/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	241									34				
18	17	97/2	97/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	242													
