mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
6	6	46/3	46/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	37									2			1
6	6	47/3	47/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	38												1
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	39												1
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	40												1
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	41												1
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42												
6	6	16	16	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	43												
7	7	18	18	0.0	0	0	Spanner	3/4	1	1	0																
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	44												
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	3/4	1	1	0															1	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	45											1	
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	46											1	
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	47											1	
7	7	20	20	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	48											1	
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	49											1	
7	7	18	18	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	50												
7	7	20	20	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	51												
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	52												
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	53												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	54												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	55												
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	56												
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	57												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	58												
9	9	24	24	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>poco mosso</i>"									
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					p											
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	59									3			
9	9	25	25	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	60		articAccentAbove										
9	9	24	24	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	61												
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	62									4			
9	9	25	25	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	63												
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	64									5			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	65												
10	10	27	27	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	66									6			
10	10	82/3	82/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	67									6			
10	10	82/3	82/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	68									6			
10	10	82/3	82/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	69									6			
10	10	83/3	83/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	70												
10	10	28	28	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	71		articAccentAbove							7			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	72												
10	10	27	27	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	73												
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	74									8			
10	10	28	28	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	75												
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	76									9			
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	77												
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	78									10			
11	11	31	31	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	79		articAccentAbove										
11	11	30	30	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	80												
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	81									11			
11	11	31	31	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	82												
11	11	30	30	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	83									12			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	84												
12	12	33	33	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	85									13			
12	12	100/3	100/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	86									13			
12	12	100/3	100/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	87									13			
12	12	100/3	100/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	88									13			
12	12	101/3	101/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	89												
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	90		articAccentAbove							14			
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	91												
12	12	33	33	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	92												
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93									15			
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	94												
12	12	33	33	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	95									16			
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	96												
13	13	36	36	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>cresc. e stretto</i>"									
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	97									17			
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	98		articAccentAbove							17			
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	99												
13	13	36	36	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	100												
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	101									18			
13	13	37	37	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	102												
13	13	36	36	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	103									19			
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	104												
14	14	39	39	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	105		articAccentAbove							20			
14	14	157/4	157/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	106									20			
14	14	79/2	79/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	107									20			
14	14	159/4	159/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	108									20			
14	14	40	40	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	109									20			
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	110									20			
14	14	81/2	81/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	111									20			
14	14	163/4	163/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	112									20			
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	113									20			
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	114									20			
14	14	83/2	83/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	115									20			
14	14	167/4	167/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	116												
14	14	39	39	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	117												
15	15	42	42	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>più cresc. e stretto</i>"									
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	118									21			
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	119		articAccentAbove							21			
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	120												
15	15	42	42	3.0	0	0	Chord	3/4	1	2	3/4		1/2	3/2	121												
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	122												
15	15	43	43	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	123												
15	15	42	42	2.0	0	0	Chord	3/4	2	2	1/2		1/2	1	124									22			
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	125												
16	16	45	45	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	126		articAccentAbove							23			
16	16	181/4	181/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	127									23			
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	128									23			
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	129									23			
16	16	46	46	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	130									23			
16	16	185/4	185/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	131									23			
16	16	93/2	93/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	132									23			
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	133									23			
16	16	47	47	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	134									23			
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	135									23			
16	16	95/2	95/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	136									23			
16	16	191/4	191/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	137												
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	138												
17	17	48	48	0.0	0	0	Spanner	3/4	1	1	0														0		
17	17	48	48	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	139		articAccentAbove							24	0		
17	17	193/4	193/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	140									24	0		
17	17	97/2	97/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	141									24	0		
17	17	195/4	195/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	142									24	0		
17	17	49	49	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	143									24	0		
17	17	197/4	197/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	144									24	0		
17	17	99/2	99/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	145									24	0		
17	17	199/4	199/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	146									24	0		
17	17	50	50	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	147									24	0		
17	17	201/4	201/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	148									24	0		
17	17	101/2	101/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	149										0		
17	17	203/4	203/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	150										0		
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	151												
18	18	51	51	0.0	0	0	Dynamic	3/4	1	1	0					f									0		
18	18	51	51	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	152		articAccentAbove							25	0		
18	18	205/4	205/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	153									25	0		
18	18	103/2	103/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	154									25	0		
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	155									25	0		
18	18	52	52	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	156									25	0		
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	157									25	0		
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	158									25	0		
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	159									25	0		
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	160									25	0		
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	161									25	0		
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	162									25	0		
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	163									25	0		
18	18	51	51	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	164												
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0													25	0	2	
19	19	54	54	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	165									25	0	2	
19	19	217/4	217/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	166									25	0	2	
19	19	109/2	109/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	167									25	0	2	
19	19	219/4	219/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	168									25	0	2	
19	19	55	55	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	169									25	0	2	
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	170									25	0	2	
19	19	111/2	111/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	171									25	0	2	
19	19	223/4	223/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	172									25	0	2	
19	19	56	56	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	173									25	0	2	
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	174									25	0	2	
19	19	113/2	113/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	175										0	2	
19	19	227/4	227/4	0.0	11/16	11/16	Spanner	3/4	1	1	0																
19	19	227/4	227/4	0.0	11/16	11/16	Spanner	3/4	1	1	0																
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	176												
20	20	57	57	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><b>Tempo I.</b>"									
20	20	57	57	0.0	0	0	Dynamic	3/4	1	1	0					p											
20	20	57	57	0.0	0	0	StaffText	3/4	1	1	0							dolce									
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	177									26			
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	178												
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	179									27			
20	20	58	58	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	180												
21	21	60	60	0.0	0	0	Spanner	3/4	1	1	0																2
21	21	60	60	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	181									28			2
21	21	181/3	181/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	182									28			2
21	21	181/3	181/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	183									28			2
21	21	181/3	181/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	184									28			2
21	21	182/3	182/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	185									28			2
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	186												2
21	21	60	60	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	187									29			2
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	188									30			
21	21	61	61	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	189												
22	22	63	63	0.0	0	0	Spanner	3/4	1	1	0																
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	190									31			
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	191									31			
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	192									31			
22	22	129/2	129/2	0.0	3/8	3/8	Spanner	3/4	1	1	0													31		3	
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	193									31		3	
22	22	65	65	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	194											3	
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	195											3	
22	22	63	63	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	196												
22	22	65	65	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	197												
22	22	263/4	263/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	198												
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	199											3	
23	23	67	67	0.0	1/4	1/4	Spanner	3/4	1	1	0																
23	23	67	67	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	200												
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	201												
23	23	67	67	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	202												
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	203									32			
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	204												
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	205									33			
24	24	70	70	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	206												
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	207									34			
24	24	70	70	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	208												
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0																3
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	209									35			3
25	25	217/3	217/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	210									35			3
25	25	217/3	217/3	0.0	1/12	1/12	Chord	3/4	1	1	0	grace16	1/16	2/3	211									35			3
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	212									35			3
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	213									35			3
25	25	73	73	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	214												3
25	25	72	72	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	215									36			3
25	25	73	73	2.0	1/4	1/4	Chord	3/4	1	2	1/2		1/2	1	216												3
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	217									37			
25	25	73	73	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	218												
26	26	75	75	0.0	0	0	Spanner	3/4	1	1	0																
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	219									38			
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	220									38			
26	26	76	76	0.0	1/4	1/4	Spanner	3/4	1	1	0													38		4	
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	221									38		4	
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	222									38		4	
26	26	77	77	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	223											4	
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	224											4	
26	26	75	75	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	225												
26	26	77	77	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	226												
26	26	311/4	311/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	227												
27	27	78	78	0.0	0	0	Spanner	3/4	1	1	0																
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	228												
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	229												
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	230												
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	231												
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	232												
27	27	80	80	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	233												
28	28	81	81	0.0	0	0	StaffText	3/4	1	1	0							più									
28	28	81	81	0.0	0	0	Dynamic	3/4	1	1	0					p											
28	28	81	81	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	234												
28	28	82	82	0.0	1/4	1/4	Spanner	3/4	1	1	0																4
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	235												4
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	236												
28	28	82	82	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	237												
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0																
29	29	84	84	0.3333333333333333	0	0	Chord	3/4	1	1	1/12		1/8	2/3	238		articTenutoAbove										
29	29	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	1	1	1/12		1/8	2/3	239		articTenutoAbove										
29	29	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	1	1	1/12		1/8	2/3	240		articTenutoAbove										
29	29	85	85	0.0	1/4	1/4	Spanner	3/4	1	1	0															5	
29	29	85	85	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	241											5	
29	29	84	84	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	242											5	
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	243									39		5	
29	29	86	86	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	244											5	
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	245												
29	29	85	85	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	246												
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	247									40			
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	248												
30	30	87	87	0.0	0	0	Spanner	3/4	1	1	0																
30	30	87	87	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	249												
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	250									41			
30	30	88	88	2.0	1/4	1/4	Chord	3/4	2	1	1/2		1/2	1	251												
31	31	90	90	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	252												
