mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	259									
28	28	81	81	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	260				7					
28	28	327/4	327/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	261				7					
28	28	165/2	165/2	1.125	3/8	3/8	Chord	6/8	1	1	9/32		1/4	9/8	262				7					
28	28	669/8	669/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32		1/8	3/4	263				7					
28	28	81	81	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	264									
28	28	163/2	163/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	265									
28	28	82	82	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	266									
28	28	165/2	165/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	267									
28	28	83	83	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	268									
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	269									
29	29	84	84	0.0	0	0	Spanner	6/8	1	1	0								7	6				
29	29	84	84	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	270				7	6				
29	29	339/4	339/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	271				7	6				
29	29	171/2	171/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/2	3/4	272				8	6				
29	29	84	84	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	273									
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	274									
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	275									
29	29	171/2	171/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	276									
29	29	86	86	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	277									
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	278									
30	30	87	87	0.0	0	0	Dynamic	6/8	1	1	0					pp								
30	30	87	87	0.0	0	0	Spanner	6/8	1	1	0													
30	30	87	87	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	279				9					
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	280				9					
30	30	88	88	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	281				9					
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	282				9					
30	30	87	87	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	283									
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	284									
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	285									
30	30	177/2	177/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	286									
30	30	89	89	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	287									
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	288									
31	31	90	90	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	289				9					
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	290				9					
31	31	91	91	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	291				9					
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	292		articAccentAbove		9					
31	31	90	90	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	293									
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	294									
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	295									
31	31	183/2	183/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	296									
31	31	92	92	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	297									
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	298									
32	32	93	93	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	299				9					
32	32	375/4	375/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	300				9					
32	32	189/2	189/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	301				9					
32	32	189/2	189/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	302				9					
32	32	189/2	189/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/4	3/4	303				9					
32	32	381/4	381/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/4	3/4	304				9					
32	32	93	93	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	305									
32	32	187/2	187/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	306									
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	307									
32	32	189/2	189/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	308									
32	32	95	95	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	309									
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	310									
33	33	96	96	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	311				9					
33	33	195/2	195/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	312				9					
33	33	197/2	197/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	313				9					
33	33	395/4	395/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	314									
33	33	96	96	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	315									
33	33	193/2	193/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	316									
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	317									
33	33	195/2	195/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	318									
33	33	98	98	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	319									
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	320									
34	34	99	99	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	321				10					
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	322				10					
34	34	100	100	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	323				10					
34	34	201/2	201/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								10		5			
34	34	201/2	201/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	324				10		5			
34	34	99	99	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	325									
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	326									
34	34	100	100	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	327									
34	34	201/2	201/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	328									
34	34	101	101	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	329									
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	330									
35	35	102	102	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	331				10		5			
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	332				10		5			
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	333				10		5			
35	35	207/2	207/2	0.0	3/8	3/8	Spanner	6/8	1	1	0								10					
35	35	207/2	207/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	334		articAccentAbove		10					
35	35	102	102	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	335									
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	336									
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	337									
35	35	207/2	207/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	338									
35	35	104	104	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	339									
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	340									
36	36	105	105	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	341				10					
36	36	423/4	423/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	342				10					
36	36	213/2	213/2	1.125	3/8	3/8	Chord	6/8	1	1	9/32		1/4	9/8	343				10					
36	36	861/8	861/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32		1/8	3/4	344				10					
36	36	105	105	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	345									
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	346									
36	36	106	106	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	347									
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	348									
36	36	107	107	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	349									
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	350									
37	37	108	108	0.0	0	0	Spanner	6/8	1	1	0								10	7				
37	37	108	108	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	351				10	7				
37	37	435/4	435/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	352				10	7				
37	37	219/2	219/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/2	3/4	353					7				
37	37	108	108	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	354									
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	355									
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	356									
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	357									
37	37	110	110	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	358									
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	359									
38	38	111	111	0.0	0	0	Dynamic	6/8	1	1	0					pp								
38	38	111	111	0.0	0	0	Spanner	6/8	1	1	0													
38	38	111	111	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	360				11					
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	361				11					
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	362				11					
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	363				11					
38	38	111	111	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	364									
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	365									
38	38	112	112	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	366									
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	367									
38	38	113	113	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	368									
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	369									
39	39	114	114	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	370				11					
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	371				11					
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	372				11					
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	373		articAccentAbove		11					
39	39	114	114	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	374									
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	375									
39	39	115	115	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	376									
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	377									
39	39	116	116	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	378									
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	379									
40	40	117	117	0.75	0	0	Chord	6/8	1	1	3/16		1/4	3/4	380				11					
40	40	471/4	471/4	0.75	3/16	3/16	Chord	6/8	1	1	3/16		1/4	3/4	381				11					
40	40	237/2	237/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	3/4	382				11					
40	40	237/2	237/2	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	9/8	383				11					
40	40	237/2	237/2	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/4	3/4	384				11					
40	40	477/4	477/4	0.75	9/16	9/16	Chord	6/8	1	1	3/16		1/4	3/4	385				11					
40	40	117	117	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	386									
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	387									
40	40	118	118	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	388									
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	389									
40	40	119	119	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	390									
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	391									
41	41	120	120	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	392									
41	41	120	120	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	393									
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	394									
41	41	121	121	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	395									
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	396									
41	41	122	122	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	397									
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	398									
42	42	123	123	0.0	0	0	StaffText	6/8	1	1	0							♮						
42	42	123	123	0.0	0	0	Spanner	6/8	1	1	0										6			
42	42	123	123	0.0	0	0	Spanner	6/8	1	1	0										6	1		
42	42	123	123	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	399						6	1		
42	42	123	123	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	400									
42	42	247/2	247/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	401									
42	42	124	124	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	402									
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	403									
42	42	125	125	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	404									
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	405									
43	43	126	126	0.0	0	0	Spanner	6/8	1	1	0											1		
43	43	126	126	0.0	0	0	Spanner	6/8	1	1	0									8		1		
43	43	126	126	0.0	0	0	Chord	6/8	1	1	0	grace16after	1/16	1	406					8		1		
43	43	126	126	0.0	0	0	Chord	6/8	1	1	0	grace16after	1/16	1	407					8		1		
43	43	126	126	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	408					8		1		
43	43	126	126	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	409									
43	43	253/2	253/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	410									
43	43	127	127	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	411									
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	412									
43	43	128	128	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	413									
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	414									
44	44	129	129	0.0	0	0	Spanner	6/8	1	1	0													
44	44	129	129	0.0	0	0	Spanner	6/8	1	1	0													
44	44	129	129	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	415									
44	44	129	129	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	416									
44	44	259/2	259/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	417									
44	44	130	130	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	418									
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	419									
44	44	131	131	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	420									
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	421									
45	45	132	132	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	422									
45	45	267/2	267/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>cresc.</i>"						
45	45	267/2	267/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	423									
45	45	132	132	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	424									
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	425									
45	45	133	133	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	426									
45	45	267/2	267/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	427									
45	45	134	134	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	428									
45	45	269/2	269/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	429									
45	45	132	132	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	430									
46	46	135	135	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	431									
46	46	135	135	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	432									
46	46	135	135	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	433									
46	46	271/2	271/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	434									
46	46	136	136	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	435									
46	46	273/2	273/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	436									
46	46	137	137	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	437									
46	46	275/2	275/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	438									
46	46	135	135	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	439									
47	47	138	138	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	440									
47	47	279/2	279/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	441									
47	47	138	138	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	442									
47	47	277/2	277/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	443									
47	47	139	139	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	444									
47	47	279/2	279/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	445									
47	47	140	140	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	446									
47	47	281/2	281/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	447									
47	47	138	138	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	448									
48	48	141	141	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	449									
48	48	141	141	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	450									
48	48	141	141	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	451									
48	48	283/2	283/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	452									
48	48	142	142	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	453									
48	48	285/2	285/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	454									
48	48	143	143	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	455									
48	48	287/2	287/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	456									
48	48	141	141	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	457									
49	49	144	144	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	458									
49	49	291/2	291/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	459									
49	49	144	144	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	460									
49	49	289/2	289/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	461									
49	49	145	145	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	462									
49	49	291/2	291/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	463									
49	49	146	146	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	464									
49	49	293/2	293/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	465									
49	49	144	144	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	466									
50	50	147	147	0.0	0	0	Chord	6/8	1	1	0	acciaccatura	1/8	1	467									
50	50	147	147	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	468									
50	50	147	147	0.0	0	0	StaffText	6/8	2	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>dim.</i>"						
50	50	147	147	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	469									
50	50	295/2	295/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	470									
50	50	148	148	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	471									
50	50	297/2	297/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	472									
50	50	149	149	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	473									
50	50	299/2	299/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	474									
50	50	147	147	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	475									
51	51	150	150	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	476									
51	51	303/2	303/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	477									
51	51	150	150	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	478									
51	51	301/2	301/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	479									
51	51	151	151	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	480									
51	51	303/2	303/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	481									
51	51	152	152	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	482									
51	51	305/2	305/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	483									
51	51	150	150	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	484									
52	52	153	153	0.0	0	0	Dynamic	6/8	1	1	0					p								
52	52	153	153	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	485									
52	52	153	153	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	486									
52	52	307/2	307/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	487									
52	52	154	154	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	488									
52	52	309/2	309/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	489									
52	52	155	155	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	490									
52	52	311/2	311/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	491									
52	52	153	153	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	492									
53	53	156	156	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	493									
53	53	315/2	315/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	494									
53	53	156	156	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	495									
53	53	313/2	313/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	496									
53	53	157	157	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	497									
53	53	315/2	315/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	498									
53	53	158	158	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	499									
53	53	317/2	317/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	500									
53	53	156	156	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	501									
54	54	159	159	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	502									
54	54	159	159	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	503									
54	54	319/2	319/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	504									
54	54	160	160	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	505									
54	54	321/2	321/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	506									
54	54	161	161	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	507									
54	54	323/2	323/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	508									
54	54	159	159	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	509									
55	55	162	162	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>dim.</i>"						
55	55	162	162	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	510									
55	55	327/2	327/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	511									
55	55	162	162	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	512									
55	55	325/2	325/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	513									
55	55	163	163	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	514									
55	55	327/2	327/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	515									
55	55	164	164	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	516									
55	55	329/2	329/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	517									
55	55	162	162	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	518									
56	56	165	165	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	519									
56	56	165	165	0.0	0	0	Spanner	6/8	2	1	0												0	0
56	56	165	165	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	520								0	0
56	56	331/2	331/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	521								0	0
56	56	166	166	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	522								0	0
56	56	333/2	333/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	523								0	0
56	56	167	167	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	524								0	0
56	56	335/2	335/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	525								0	0
56	56	165	165	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	526								0	0
57	57	168	168	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	527				12					
57	57	337/2	337/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	528				12					
57	57	169	169	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	529				12					
57	57	339/2	339/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	530									
57	57	168	168	0.0	0	0	Spanner	6/8	2	1	0													
57	57	168	168	0.0	0	0	Spanner	6/8	2	1	0												1	1
57	57	168	168	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	531								1	1
57	57	168	168	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	532								1	1
58	58	171	171	0.0	0	0	Spanner	6/8	2	1	0													
58	58	171	171	0.0	0	0	Spanner	6/8	2	1	0												2	2
