mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
22	22	42	42	0.0	0	0	Chord	2/4	1	1	0	grace16after	1/16	1	248													
22	22	42	42	0.0	0	0	Chord	2/4	1	1	0	grace16after	1/16	1	249									52				
22	22	42	42	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	250									52				
22	22	42	42	1.5	0	0	Chord	2/4	1	2	3/8		1/4	3/2	251									53				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	252													
22	22	42	42	1.5	0	0	Chord	2/4	2	1	3/8		1/4	3/2	253									54				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	254													
22	22	42	42	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	255													
23	23	44	44	0.0	0	0	SystemText	2/4	1	1	0							ritard.										
23	23	44	44	0.0	0	0	Dynamic	2/4	1	1	0					pp												
23	23	44	44	0.0	0	0	Spanner	2/4	1	1	0														8			
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	256		articStaccatoBelow								8			
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	257										8			
23	23	45	45	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	258										8			
23	23	91/2	91/2	0.0	3/8	3/8	Spanner	2/4	1	1	0																	
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	259													
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	260													
23	23	44	44	0.0	0	0	Spanner	2/4	2	1	0																5	5
23	23	44	44	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	261									55			5	5
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	262									55			5	5
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	263									55			5	5
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	264												5	5
23	23	45	45	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	265									56			5	5
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	266									56			5	5
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	267									56			5	5
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	268												5	5
23	23	46	46	0.0	1/2	1/2	Spanner	2/4	2	1	0																	
23	23	44	44	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	269													
23	23	45	45	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	270													
23	23	181/4	181/4	0.75	5/16	5/16	Chord	2/4	2	3	3/16		1/8	3/2	271													
